Article;ArticleNo;Info;StartDate;StartTime;EndDate;EndTime;CyclusTime (s);BendTime (s)
5000107202;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;09:42:41.980;25.10.2017;09:43:34.680;52.7;43.6
5000107202;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;09:43:00.640;25.10.2017;09:43:53.440;52.8;43.8
5000107202;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;09:43:53.053;25.10.2017;09:44:45.453;52.4;43.5
5000107202;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;09:44:56.637;25.10.2017;09:45:49.237;52.6;43.8
5000107202;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;09:45:39.527;25.10.2017;09:46:41.427;61.9;44.0
5000107202;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;09:47:15.213;25.10.2017;09:48:07.313;52.1;43.3
5000107202;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;09:47:44.693;25.10.2017;09:48:37.593;52.9;43.9
5000107202;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;09:48:44.597;25.10.2017;09:49:37.197;52.6;43.9
5000107202;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;09:49:31.900;25.10.2017;09:50:24.800;52.9;44.0
5000107202;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;09:50:10.273;25.10.2017;09:53:46.273;216.0;43.7
5000107202;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;09:54:22.150;25.10.2017;09:55:15.150;53.0;43.5
5000107202;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;09:55:15.543;25.10.2017;09:56:27.143;71.6;43.5
5000107202;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;09:56:26.933;25.10.2017;09:57:24.733;57.8;48.7
5000107202;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;09:56:48.640;25.10.2017;09:57:52.140;63.5;43.9
5000107202;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;09:58:28.390;25.10.2017;09:59:21.290;52.9;44.1
5000107202;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;09:58:51.953;25.10.2017;09:59:57.953;66.0;43.8
5000107202;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;10:00:27.747;25.10.2017;10:01:20.647;52.9;43.8
5000107202;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;10:00:49.873;25.10.2017;10:01:42.173;52.3;43.6
5000107202;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;10:01:40.780;25.10.2017;10:03:27.680;106.9;43.8
5000107202;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;10:03:59.953;25.10.2017;10:04:53.053;53.1;44.0
5000107202;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;10:04:27.927;25.10.2017;10:05:20.827;52.9;43.8
5000107202;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;10:05:20.340;25.10.2017;10:06:13.340;53.0;44.0
5000107202;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;10:06:18.357;25.10.2017;10:07:11.357;53.0;43.9
5000107202;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;10:07:16.090;25.10.2017;10:08:09.090;53.0;43.9
5000107202;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;10:07:50.613;25.10.2017;10:09:53.213;122.6;43.6
5000107202;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;10:10:28.237;25.10.2017;10:11:41.137;72.9;43.8
5000107202;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;10:11:41.447;25.10.2017;10:12:34.147;52.7;43.8
5000107202;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;10:12:00.493;25.10.2017;10:19:14.793;434.3;43.6
5000107202;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;10:19:48.323;25.10.2017;10:20:40.823;52.5;43.6
5000107202;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;10:20:09.087;25.10.2017;10:21:01.587;52.5;43.5
5000107202;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;10:21:00.030;25.10.2017;10:21:52.730;52.7;43.7
5000107202;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;10:21:51.320;25.10.2017;10:22:54.920;63.6;43.4
5000107202;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;10:23:30.440;25.10.2017;10:25:22.840;112.4;43.6
5000107202;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;10:25:22.863;25.10.2017;10:26:15.463;52.6;43.8
5000107202;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;10:25:49.823;25.10.2017;10:26:42.623;52.8;43.9
5000107202;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;10:26:43.567;25.10.2017;10:27:36.367;52.8;43.8
5000107202;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;10:27:54.957;25.10.2017;10:28:47.157;52.2;43.2
5000107202;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;10:28:30.843;25.10.2017;10:29:24.243;53.4;43.7
5000107202;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;10:29:29.910;25.10.2017;10:36:48.110;438.2;43.6
5000107202;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;10:37:05.207;25.10.2017;10:37:57.907;52.7;43.7
5000107202;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;10:37:22.360;25.10.2017;10:38:15.060;52.7;43.9
5000107202;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;10:38:17.960;25.10.2017;10:39:10.660;52.7;43.8
5000107202;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;10:39:19.160;25.10.2017;10:40:12.260;53.1;44.1
5000107202;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;10:40:12.450;25.10.2017;10:41:05.050;52.6;43.9
5000107202;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;10:41:05.423;25.10.2017;10:47:16.223;370.8;44.0
5000107202;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;10:47:40.850;25.10.2017;10:48:33.050;52.2;43.1
5000107202;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;10:48:11.133;25.10.2017;10:49:03.833;52.7;43.7
5000107202;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;10:49:00.957;25.10.2017;10:49:53.757;52.8;43.8
5000107202;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;10:49:55.610;25.10.2017;10:50:48.610;53.0;43.9
5000107202;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;10:50:45.817;25.10.2017;10:51:38.417;52.6;43.6
5000107202;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;10:51:33.330;25.10.2017;10:53:15.030;101.7;43.9
5000107202;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;10:53:46.587;25.10.2017;10:54:39.787;53.2;44.2
5000107202;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;10:54:14.527;25.10.2017;10:55:07.427;52.9;43.9
5000107202;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;10:55:08.443;25.10.2017;10:56:01.243;52.8;43.8
5000107202;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;10:56:02.607;25.10.2017;10:56:55.507;52.9;44.0
5000107202;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;10:56:54.950;25.10.2017;10:57:48.150;53.2;43.1
5000107202;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;10:57:44.633;25.10.2017;11:00:56.133;191.5;43.9
5000107202;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;11:01:23.457;25.10.2017;11:02:43.257;79.8;44.1
5000107202;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;11:02:43.423;25.10.2017;11:03:36.023;52.6;43.6
5000107202;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;11:03:29.010;25.10.2017;11:04:21.310;52.3;43.7
5000107202;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;11:04:07.907;25.10.2017;11:05:00.407;52.5;43.5
5000107202;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;11:04:55.420;25.10.2017;11:06:14.520;79.1;47.4
5000107202;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;11:05:54.730;25.10.2017;11:07:34.030;99.3;43.8
5000107202;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;11:08:19.960;25.10.2017;11:09:12.360;52.4;43.5
5000107202;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;11:08:56.617;25.10.2017;11:09:49.417;52.8;43.6
5000107202;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;11:09:37.197;25.10.2017;11:10:29.697;52.5;43.5
5000107202;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;11:10:38.047;25.10.2017;11:11:30.847;52.8;43.9
5000107202;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;11:11:34.873;25.10.2017;11:12:27.073;52.2;43.3
5000107202;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;11:12:10.620;25.10.2017;11:16:27.120;256.5;43.8
5000107202;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;11:16:59.643;25.10.2017;11:17:53.943;54.3;45.5
5000107202;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;11:17:22.647;25.10.2017;11:18:16.647;54.0;45.3
5000107202;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;11:18:31.270;25.10.2017;11:19:25.970;54.7;45.9
5000107202;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;11:19:35.693;25.10.2017;11:20:29.893;54.2;45.3
5000107202;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;11:20:13.820;25.10.2017;11:21:08.720;54.9;46.0
5000107202;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;11:21:07.040;25.10.2017;11:22:58.240;111.2;45.4
5000107202;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;11:23:23.727;25.10.2017;11:24:17.627;53.9;45.0
5000107202;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;11:23:50.477;25.10.2017;11:24:44.877;54.4;45.5
5000107202;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;11:24:46.493;25.10.2017;11:25:40.693;54.2;45.3
5000107202;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;11:25:37.263;25.10.2017;11:26:31.963;54.7;45.6
5000107202;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;11:26:33.877;25.10.2017;11:27:55.577;81.7;45.8
5000107202;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;11:27:46.910;25.10.2017;11:29:24.710;97.8;45.2
5000107202;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;11:30:49.467;25.10.2017;11:31:44.167;54.7;45.5
5000107202;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;11:31:16.003;25.10.2017;11:33:51.603;155.6;45.3
5000107302;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;12:10:39.217;25.10.2017;12:14:53.217;254.0;99.6
5000107302;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;12:16:41.417;25.10.2017;12:18:35.217;113.8;50.2
5000107302;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;12:18:35.450;25.10.2017;12:19:34.950;59.5;50.6
5000107302;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;12:18:59.993;25.10.2017;12:19:59.493;59.5;50.6
5000107302;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;12:20:24.477;25.10.2017;12:22:38.677;134.2;50.5
5000107302;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;12:22:48.940;25.10.2017;12:27:06.340;257.4;50.4
5000107302;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;12:27:06.487;25.10.2017;12:28:05.987;59.5;50.4
5000107302;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;12:27:49.447;25.10.2017;12:28:48.847;59.4;50.3
5000107302;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;12:28:25.267;25.10.2017;12:29:24.867;59.6;50.7
5000107302;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;12:29:30.840;25.10.2017;12:30:30.040;59.2;50.2
5000107302;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;12:30:37.397;25.10.2017;12:32:49.297;131.9;50.2
5000107302;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;12:33:16.423;25.10.2017;12:34:08.523;52.1;43.3
5000107302;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;12:34:05.267;25.10.2017;12:35:05.267;60.0;43.7
5000107302;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;12:35:08.847;25.10.2017;12:36:01.447;52.6;43.7
5000107302;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;12:35:38.887;25.10.2017;12:36:31.187;52.3;43.6
5000107302;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;12:36:22.617;25.10.2017;12:37:15.517;52.9;43.9
5000107302;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;12:37:15.347;25.10.2017;12:38:25.147;69.8;43.7
5000107302;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;12:38:56.953;25.10.2017;12:42:46.553;229.6;43.6
5000107302;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;12:42:46.770;25.10.2017;12:43:39.370;52.6;43.6
5000107302;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;12:43:08.967;25.10.2017;12:44:01.767;52.8;43.9
5000107302;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;12:43:57.810;25.10.2017;12:44:50.210;52.4;43.6
5000107302;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;12:45:01.953;25.10.2017;12:46:48.053;106.1;43.5
5000107302;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;12:47:11.320;25.10.2017;12:48:37.520;86.2;43.5
5000107302;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;12:47:30.123;25.10.2017;12:49:35.423;125.3;43.3
5000107302;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;12:50:42.653;25.10.2017;12:51:34.953;52.3;43.5
5000107302;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;12:51:00.267;25.10.2017;12:51:56.967;56.7;47.7
5000107302;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;12:51:54.323;25.10.2017;12:52:46.823;52.5;43.5
5000107302;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;12:52:51.603;25.10.2017;12:53:44.103;52.5;43.5
5000107302;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;12:53:58.897;25.10.2017;12:54:53.297;54.4;45.6
5000107302;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;12:54:37.727;25.10.2017;12:56:27.127;109.4;43.5
5000107302;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;13:29:41.567;25.10.2017;13:31:21.567;100.0;43.6
5000107302;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;13:33:15.417;25.10.2017;13:34:08.417;53.0;43.9
5000107302;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;13:33:32.330;25.10.2017;13:34:25.530;53.2;44.0
5000107302;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;13:34:26.597;25.10.2017;13:36:04.097;97.5;43.8
5000107302;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;13:36:39.050;25.10.2017;13:37:31.850;52.8;43.9
5000107302;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;13:37:00.230;25.10.2017;13:37:52.630;52.4;43.5
5000107302;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;13:37:54.777;25.10.2017;13:38:47.377;52.6;43.6
5000107302;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;13:38:43.340;25.10.2017;13:39:35.740;52.4;43.5
5000107302;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;13:39:37.363;25.10.2017;13:40:29.963;52.6;43.5
5000107302;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;13:40:26.663;25.10.2017;13:41:51.063;84.4;43.4
5000107302;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;13:42:27.170;25.10.2017;13:43:20.070;52.9;43.9
5000107302;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;13:43:01.483;25.10.2017;13:43:54.483;53.0;44.0
5000107302;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;13:43:37.930;25.10.2017;13:44:30.530;52.6;43.6
5000107302;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;13:44:32.130;25.10.2017;13:45:24.130;52.0;43.3
5000107302;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;13:45:24.017;25.10.2017;13:46:16.717;52.7;43.7
5000107302;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;13:46:17.760;25.10.2017;13:47:47.660;89.9;43.2
5000107302;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;13:48:20.793;25.10.2017;13:49:13.193;52.4;43.5
5000107302;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;13:48:38.930;25.10.2017;13:55:07.530;388.6;43.7
5000107302;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;13:55:42.120;25.10.2017;13:59:57.620;255.5;43.5
5000107302;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;13:59:57.673;25.10.2017;14:00:50.373;52.7;43.6
5000107302;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;14:00:23.793;25.10.2017;14:01:16.793;53.0;43.7
5000107302;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;14:01:10.077;25.10.2017;14:03:15.177;125.1;43.7
5000107302;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;14:03:48.787;25.10.2017;14:04:41.587;52.8;43.8
5000107302;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;14:04:08.673;25.10.2017;14:05:01.673;53.0;44.0
5000107302;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;14:05:01.717;25.10.2017;14:05:54.317;52.6;43.7
5000107302;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;14:06:00.367;25.10.2017;14:07:12.167;71.8;43.5
5000107302;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;14:07:39.657;25.10.2017;14:08:39.657;60.0;43.8
5000107302;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;14:08:05.707;25.10.2017;14:08:58.507;52.8;43.9
5000107302;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;14:09:32.677;25.10.2017;14:10:25.377;52.7;43.7
5000107302;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;14:10:04.887;25.10.2017;14:10:57.487;52.6;43.7
5000107302;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;14:11:04.023;25.10.2017;14:11:56.623;52.6;43.7
5000107302;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;14:11:37.913;25.10.2017;14:12:30.613;52.7;43.8
5000107302;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;14:12:48.397;25.10.2017;14:13:41.097;52.7;43.7
5000107302;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;14:13:22.600;25.10.2017;14:14:15.100;52.5;43.5
5000107302;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;14:14:19.637;25.10.2017;14:15:12.737;53.1;43.2
5000107302;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;14:15:42.367;25.10.2017;14:16:35.367;53.0;43.9
5000107302;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;14:16:05.757;25.10.2017;14:16:58.457;52.7;43.9
5000107302;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;14:17:06.750;25.10.2017;14:17:59.350;52.6;43.6
5000107302;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;14:18:04.623;25.10.2017;14:18:57.423;52.8;43.8
5000107302;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;14:18:46.917;25.10.2017;14:20:17.617;90.7;43.8
5000107302;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;14:22:47.623;25.10.2017;14:23:40.623;53.0;44.0
5000107302;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;14:23:15.390;25.10.2017;14:24:08.090;52.7;43.7
5000107302;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;14:24:06.857;25.10.2017;14:25:06.457;59.6;43.5
5000107302;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;14:25:33.373;25.10.2017;14:26:25.773;52.4;43.5
5000107302;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;14:26:00.330;25.10.2017;14:27:05.130;64.8;43.6
5000107302;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;14:27:30.487;25.10.2017;14:28:23.187;52.7;43.8
5000107302;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;14:27:55.417;25.10.2017;14:28:51.917;56.5;47.5
5000107302;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;14:29:04.740;25.10.2017;14:29:57.140;52.4;43.5
5000107302;SX;STAND 27.10.00 AGGIUNGERE CALAMITE SU CARICO;25.10.2017;14:30:04.927;25.10.2017;14:30:57.527;52.6;43.8
